Case ID,Start Timestamp,Complete Timestamp,Activity,Resource,Role
339,2011/02/16 14:31:00.000,2011/02/16 15:23:00.000,Create Purchase Requisition,R-330,Requester
339,2011/02/17 09:34:00.000,2011/02/17 09:40:00.000,Analyze Purchase Requisition,R-729,Requester Manager
339,2011/02/17 21:29:00.000,2011/02/17 21:52:00.000,Amend Purchase Requisition,R-790,Requester
339,2011/02/18 17:24:00.000,2011/02/18 17:30:00.000,Analyze Purchase Requisition,R-264,Requester Manager
339,2011/02/18 17:36:00.000,2011/02/18 17:38:00.000,Create Request for Quotation Requester Manager,R-775,Requester Manager
339,2011/02/22 09:34:00.000,2011/02/22 09:58:00.000,Analyze Request for Quotation,R-810,Purchasing Agent
339,2011/02/22 10:50:00.000,2011/02/22 11:03:00.000,Amend Request for Quotation Requester,R-297,Requester Manager
339,2011/02/28 08:10:00.000,2011/02/28 08:34:00.000,Analyze Request for Quotation,R-312,Purchasing Agent
940,2011/05/17 06:31:00.000,2011/05/17 07:08:00.000,Create Purchase Requisition,R-874,Requester
940,2011/05/17 09:58:00.000,2011/05/17 10:06:00.000,Create Request for Quotation Requester,R-591,Requester
940,2011/05/18 19:30:00.000,2011/05/18 19:56:00.000,Analyze Request for Quotation,R-312,Purchasing Agent
940,2011/05/18 23:46:00.000,2011/05/18 23:59:00.000,Send Request for Quotation to Supplier,R-810,Purchasing Agent
940,2011/05/19 03:44:00.000,2011/05/19 08:31:00.000,Create Quotation comparison Map,R-312,Purchasing Agent
940,2011/05/19 15:38:00.000,2011/05/19 15:52:00.000,Analyze Quotation comparison Map,R-846,Requester
940,2011/05/19 15:52:00.000,2011/05/19 15:52:00.000,Choose best option,R-563,Requester
940,2011/05/20 23:31:00.000,2011/05/21 09:22:00.000,Settle conditions with supplier,R-810,Purchasing Agent
940,2011/05/21 18:48:00.000,2011/05/21 18:59:00.000,Create Purchase Order,R-312,Purchasing Agent
940,2011/05/22 11:33:00.000,2011/05/22 11:44:00.000,Confirm Purchase Order,R-346,Supplier
940,2011/05/23 05:32:00.000,2011/05/24 13:46:00.000,Deliver Goods Services,R-346,Supplier
940,2011/05/24 20:59:00.000,2011/05/24 21:00:00.000,Release Purchase Order,R-846,Requester
940,2011/05/26 07:41:00.000,2011/05/26 07:42:00.000,Approve Purchase Order for payment,R-594,Purchasing Agent
940,2011/05/28 01:11:00.000,2011/05/28 01:11:00.000,Send invoice,R-543,Supplier
940,2011/05/28 15:28:00.000,2011/05/28 15:28:00.000,Authorize Supplier's Invoice payment,R-752,Financial Manager
